name,surface,observed_at_path,proposed_registry_name,priority,notes
button,library/saas/landing/tool/commerce/mobile/desktop,audit-dashboard/src/components/primitives/button.tsx,button,T1,Five sizes × eight intents × three shapes. v0.12.2 glow ladder. Most-used affordance system-wide.
input,library/saas/tool/commerce,audit-dashboard/src/components/ui/input.tsx,input,T1,Standard text input. Composes inside Field. v0.6 shell system.
textarea,library/saas/tool,audit-dashboard/src/components/ui/textarea.tsx,textarea,T1,Multi-line input. Auto-resize via field-sizing-content per ADR.
card,library/saas/landing/tool/commerce/mobile/desktop,audit-dashboard/src/components/primitives/card.tsx,card,T1,Surface raised. v0.12.4 corner-clip contract.
sheet,library/saas/tool,audit-dashboard/src/components/ui/sheet.tsx,sheet,T1,Side-anchored panel. Built on Radix Dialog.
popover,library/saas/tool,audit-dashboard/src/components/ui/popover.tsx,popover,T1,Floating panel — portaled per ADR 0021.
tooltip,library/saas/tool,audit-dashboard/src/components/primitives/tooltip.tsx,tooltip,T1,Brand tooltip with delay + arrow.
toast,library/saas,sonner via audit-dashboard,toast,T1,Sonner integration. Six health states.
badge,library/saas/landing/tool,audit-dashboard/src/components/primitives/badge.tsx,badge,T1,Status pill. Pair-only color use.
tag,library/saas,audit-dashboard/src/components/primitives/badge.tsx,tag,T1,Adjacent to Badge — input/filter tag with onClose.
avatar,library/saas/landing,audit-dashboard/src/components/primitives/avatar.tsx,avatar,T1,User + carrier identity. Initials fallback.
skeleton,library/saas/tool,audit-dashboard/src/components/primitives/skeleton.tsx,skeleton,T1,Loading placeholder. Honors prefers-reduced-motion.
spinner,library/saas/tool,audit-dashboard/src/components/primitives/spinner.tsx,spinner,T1,Determinate + indeterminate loop. Accent only.
tabs,library/saas/tool/commerce,audit-dashboard/src/components/ui/tabs.tsx,tabs,T1,Primary + segmented + inline variants.
breadcrumb,library/saas/tool/commerce,audit-dashboard/src/components/primitives/breadcrumb.tsx,breadcrumb,T1,Crumbs with overflow collapse.
switch,library/saas/tool/commerce,audit-dashboard/src/components/ui/switch.tsx,switch,T1,Toggle with inline-style thumb math (ADR 0019).
checkbox,library/saas/tool/commerce,audit-dashboard/src/components/ui/checkbox.tsx,checkbox,T1,Tri-state. Lime accent on checked.
radio,library/saas/tool/commerce,audit-dashboard/src/components/ui/radio-group.tsx,radio,T1,Radio group. Single-select.
slider,library/saas/tool/commerce,audit-dashboard/src/components/ui/slider.tsx,slider,T1,Single + range. Inline-style thumb math.
progress,library/saas/tool/commerce,audit-dashboard/src/components/primitives/progress.tsx,progress,T1,Bar + ring variants. Honors reduced-motion.
data-table,library/saas/tool/desktop,02-components/table + audit-dashboard,data-table,T2,Virtualized via TanStack. Consumer brings data; Lumen brings chrome.
command-palette,library/saas/tool/landing,audit-dashboard/src/components/primitives/command-palette.tsx,command-palette,T2,cmdk-powered. ⌘K trigger.
drawer,library/saas/tool/mobile,02-components/drawer,drawer,T2,Mobile bottom-sheet + desktop side-drawer.
modal,library/saas/tool/landing,audit-dashboard/src/components/ui/dialog.tsx,modal,T2,Built on dialog. Confirmation + form modal patterns.
dropdown-menu,library/saas/tool,audit-dashboard/src/components/ui/dropdown-menu.tsx,dropdown-menu,T2,Menu with submenus + groups.
combobox,library/saas/tool/commerce,02-components/combobox,combobox,T2,Searchable select. Portaled per ADR 0021.
calendar,library/saas/tool,audit-dashboard/src/components/ui/calendar (react-day-picker),calendar,T2,react-day-picker wrapper. Month + range.
date-picker,library/saas/tool/commerce,02-components/date-picker,date-picker,T2,Field + popover composite.
filter-builder,library/saas/tool,NEW,filter-builder,T2,Query DSL editor — operator/value chip rows.
filter-chip,library/saas/tool,02-components/segmented + filter-builder,filter-chip,T2,Dismissible chip in filter rows.
saved-view,library/saas/tool,NEW,saved-view,T2,Named query state with diff + share.
sidebar,library/saas/tool/desktop,02-components/sidebar,sidebar,T2,Multi-level nav. Collapsible.
top-bar,library/saas/tool/desktop,audit-dashboard/src/components/dashboard-shell.tsx,top-bar,T2,Brand mark + global search + user menu.
pagination,library/saas/tool/commerce,02-components/pagination,pagination,T2,Page numbers + first/prev/next/last + jump.
select,library/saas/tool/commerce,audit-dashboard/src/components/ui/select.tsx,select,T2,Single-select dropdown. Radix-based.
stat,library/saas/landing/tool/commerce/mobile,audit-dashboard/src/components/primitives/stat.tsx,stat,T3-SIG,Big numeric + delta pill + sparkline. SIGNATURE.
live-dot,library/saas/landing/tool/commerce,audit-dashboard/src/components/primitives/live-dot.tsx,live-dot,T3-SIG,3s pulse loop. Six health states. SIGNATURE.
rate-ticker,library/saas/landing,audit-dashboard/src/components/primitives/rate-ticker.tsx,rate-ticker,T3-SIG,Linear marquee. Pausable on hover. SIGNATURE.
lane-code,library/saas/tool/commerce/landing,NEW,lane-code,T4,Lane code (LAX→SFO) + optional inline rate. Mono numerics.
lane-arc,library/saas/tool/landing,NEW,lane-arc,T4,SVG arc over base map. Animated draw-in on mount.
